,Unnamed: 0,text,Category,score
0,0,"Delete Facebook, hit the streets  https://t.co/eiqaMmNiaJ",Pro-choice,0.774778425693512
1,1,@Razzaque_Ayesha This was indeed one of the few good things that Trump was able to pull off.  He made sure that the… https://t.co/WUxzIBu2jI,Pro-life,0.4135906398296356
2,2,For context this happened when I told multiple people who cheered the Roe VS Wade decision to shut the fuck up.,Pro-choice,0.28979936242103577
3,3,I’m not arguing with anyone about roe v wade. You’re dumb if you don’t understand how important this is.,Pro-choice,0.4166983962059021
4,4,we been on this! when the issues happened in Texas well before this was overturned - Apple committed to their emplo… https://t.co/o87xjA1lVn,Pro-choice,0.5492211580276489
5,5,"@dindin6 @kylegriffin1 Roe v Wade was terrible law, it should have ALWAYS been a states issue, and now it is. As us… https://t.co/Do7oWuvkzn",Pro-life,0.6287310123443604
6,6,annoyed i can’t voice my opinion on roe v wade in my house bc my mom is anti choice,Pro-choice,0.21219974756240845
7,7,@alexismcgill Roe v Wade is no longer. Wonderful!,Pro-life,0.5749909281730652
8,8,out here wondering if the supreme court realizes how much they’ve fucked up yet. because the shitstorm they created… https://t.co/8fsK0j1aTK,Pro-choice,0.18357250094413757
9,9,"More telling: How the Justices see themselves impacted by ending Roe v Wade: They get paid BIG money. Concerning, n… https://t.co/hiUPidSq9w",Pro-choice,0.44031259417533875
10,10,@CjPsychosis @MrColionNoir Certain peoples in the U.S. have led people to believe that pre-born babies don't matter… https://t.co/vifp8Nk8IZ,Pro-life,0.7588512897491455
11,11,"@websurvivor @davidhogg111 The way Justice Ginsburg saw it, Roe v. Wade was focused on the wrong argument.. restric… https://t.co/G4mucFuCsG",Pro-choice,0.7444062232971191
12,12,@ewarren https://t.co/S2VAwXI9n8,Pro-choice,0.4879913628101349
13,13,Well if reversing roe v Wade is to preserve white babies. Then reversing loving v Va is to preserve the white race https://t.co/dkXzgkFnp5,Pro-choice,0.2374466061592102
14,14,And to EVERYONE celebrating the overturning of Roe v Wade. You better pray you don’t have a miscarriage. And pray y… https://t.co/qIF2Nqfp8D,Pro-choice,0.829541802406311
15,15,"Supreme Court overturned Roe v. Wade

What. Ta. Hell?!
🤬🤬🤬🔪🔪🔪",Pro-choice,0.2615651488304138
16,16,"Well, just had an argument with my mom about everything going on in our country. From the Supreme Court to Roe v Wa… https://t.co/AYKobguxRJ",Pro-choice,0.14724703133106232
17,17,the worst decision I’ve made in a minute is visiting home the day after roe v wade is overturned bc why is my 12 ye… https://t.co/VHW5sIwc1m,Pro-choice,0.6900806427001953
18,18,"With Roe v. Wade overturned, the #Canadian public needs to know where @CPC_HQ stands on abortion rights. Add your n… https://t.co/2mIUf0NdDO",Pro-choice,0.3542664647102356
