,text,Category
0,"Delete Facebook, hit the streets  https://t.co/eiqaMmNiaJ",Pro-choice
1,@Razzaque_Ayesha This was indeed one of the few good things that Trump was able to pull off.  He made sure that the… https://t.co/WUxzIBu2jI,Pro-life
2,For context this happened when I told multiple people who cheered the Roe VS Wade decision to shut the fuck up.,Pro-choice
3,I’m not arguing with anyone about roe v wade. You’re dumb if you don’t understand how important this is.,Pro-choice
4,we been on this! when the issues happened in Texas well before this was overturned - Apple committed to their emplo… https://t.co/o87xjA1lVn,Pro-choice
5,"@dindin6 @kylegriffin1 Roe v Wade was terrible law, it should have ALWAYS been a states issue, and now it is. As us… https://t.co/Do7oWuvkzn",Pro-life
6,annoyed i can’t voice my opinion on roe v wade in my house bc my mom is anti choice,Pro-choice
7,@alexismcgill Roe v Wade is no longer. Wonderful!,Pro-life
8,out here wondering if the supreme court realizes how much they’ve fucked up yet. because the shitstorm they created… https://t.co/8fsK0j1aTK,Pro-choice
9,"More telling: How the Justices see themselves impacted by ending Roe v Wade: They get paid BIG money. Concerning, n… https://t.co/hiUPidSq9w",Pro-choice
10,@CjPsychosis @MrColionNoir Certain peoples in the U.S. have led people to believe that pre-born babies don't matter… https://t.co/vifp8Nk8IZ,Pro-life
11,"@websurvivor @davidhogg111 The way Justice Ginsburg saw it, Roe v. Wade was focused on the wrong argument.. restric… https://t.co/G4mucFuCsG",Pro-choice
12,@ewarren https://t.co/S2VAwXI9n8,Pro-choice
13,Well if reversing roe v Wade is to preserve white babies. Then reversing loving v Va is to preserve the white race https://t.co/dkXzgkFnp5,Pro-choice
14,And to EVERYONE celebrating the overturning of Roe v Wade. You better pray you don’t have a miscarriage. And pray y… https://t.co/qIF2Nqfp8D,Pro-choice
15,"Supreme Court overturned Roe v. Wade

What. Ta. Hell?!
🤬🤬🤬🔪🔪🔪",Pro-choice
16,"Well, just had an argument with my mom about everything going on in our country. From the Supreme Court to Roe v Wa… https://t.co/AYKobguxRJ",Pro-choice
17,the worst decision I’ve made in a minute is visiting home the day after roe v wade is overturned bc why is my 12 ye… https://t.co/VHW5sIwc1m,Pro-choice
18,"With Roe v. Wade overturned, the #Canadian public needs to know where @CPC_HQ stands on abortion rights. Add your n… https://t.co/2mIUf0NdDO",Pro-choice
19,"@DrDebraSoh Oh naff off

 Trans hostile people cosying up to conservative Christians against trans folk instead of… https://t.co/ctHZVvR8ft",Pro-choice
20,I Am very disappointed that the court over turned the case of roe v wade and that they didn’t keep certain pertecti… https://t.co/7QJwcBu1E1,Pro-choice
21,"cause to benefit those that have no way of refusing her imposition. 
#ElVioladorEresTú! 

""come November, 86 state… https://t.co/TQfsVipkH4",Pro-choice
22,"good morning, the supreme court overturning roe v wade is literally unconstitutional",Pro-choice
23,CNMA is grieving with millions of you today at the loss of our constitutionally recognized right to abortion with t… https://t.co/Ej1nw5JfnS,Pro-choice
24,@bingus_the_cat_ @Timcast There is NO Constitutional guarantee for abortion or any other form of murder !!!!! Roe v… https://t.co/4F8FLLMhem,Pro-life
25,"Most Americans favor keeping Roe v Wade.

But the unaccountable sponsors of #TeamCoup have cheated and bought their… https://t.co/6ZE81vRGJL",Pro-choice
26,"If you think that the supreme court overturning Roe vs Wade is a good thing and you are celebrating, never speak to me again!!👍",Pro-choice
27,"Excited to share this item from my #etsy shop: No Country for Old Men Shirt, Pro Choice Shirt, Ruth Bader Ginsburg… https://t.co/mst5EHPK6n",Pro-choice
28,@ChrisMurphyCT Why didn't you demand Roe v Wade be made law?,Pro-choice
29,"It's so obvious that anti-abortion chuds strive to make people's lives worse, since Roe v Wade never took options a… https://t.co/sypo4FnItr",Pro-choice
30,Roe v. Wade has just been overturned – and abortion rights activists from across the world are fighting back. Join… https://t.co/Bu6LWMrsXb,Pro-choice
31,Another thing that pisses me off about everything going on is y’all thought one election was it. Fam. Republicans h… https://t.co/2kNGXmCBc3,Pro-choice
32,"@McFaul Protector of the free world, but sadly it doesn't belong to.

And not only because of Roe v Wade.",Pro-choice
33,Opinion | The incredible hypocrisy of Christian 'religious freedom' rhetoric after Roe https://t.co/Izrnc3SdBk via @msnbc,Pro-choice
34,"@Duckypam @SenatorWarnock Then think about this:
Two known sex offenders overturned Roe vs. Wade. Let that sink in.",Pro-choice
35,Roe v. Wade is Gone. We Must Demand the U.S. Congress Pass Protections for Reproductive Rights Now! https://t.co/HrJoJ8o6O0,Pro-choice
36,"anyone who supports the overturned roe v wade is absolute disgrace to the Constitution

you know damn well you don’… https://t.co/76pb3ovnat",Pro-choice
37,China having abortion doesn’t magically make them better than us like the camps and other human rights violations d… https://t.co/UE9xpOKyEu,Pro-choice
38,"The people calling for folks to be civil in their abortion discourse are how we got here.

No.

My body. Piss off.",Pro-choice
39,63 percent of the American population supports Roe V Wade (the majority)! While 5 justices voted to overturn Roe! U… https://t.co/BfvzyWVft8,Pro-choice
40,"@SMBWhitney @BarackObama Its funny you bring up Ginsberg, she stated many times Roe vs Wade was bad law.",Pro-life
41,"@bluekat323 @leighmatsell @caambers @Robthefrosty @Sparkle31888597 The ""domestic terrorism"" is happening RIGHT NOW… https://t.co/THft1peY8s",Pro-life
42,How you gonna let sex offenders overturn Roe v Wade? #SCOTUS,Pro-choice
43,There’s about to be a lotion shortage. The flip side of overturning Roe v. Wade is now women will not have sex with… https://t.co/4QuF1h7l7Y,Pro-choice
44,The US Supreme Court washed their hands off the abortion issue like Pontius Pilate and gave States the responsibili… https://t.co/raWfjP0lO3,Pro-choice
45,The folks who are ecstatic about Roe v Wade being overturned have been oddly quiet about Ukrainian babies/children… https://t.co/3E042nr9og,Pro-choice
46,"Roe v. Wade shows the importance of voting and why you should never ""sit this one out"". People said there's no diff… https://t.co/eJ9ehMSsyW",Pro-choice
47,"As other states ban abortion, CT gears up for an influx of patients. Because in CT Women Matter!! https://t.co/coe44N17Ir",Pro-choice
48,"@baseball99 @BarackObama The reason Roe V Wade was struck down is that these justices believe, religiously, that th… https://t.co/TdXMex9OiL",Pro-choice
49,@POTUS Abortion is murder,Pro-life
50,We just repealed Roe v. Wade and my Senator is posting on main about wanting to bring back segregation. https://t.co/v25E0dl6eX,Pro-choice
51,"@JustOneVoice68 @V1s1D @Gatros27 @darugona_ ""Overturning Roe v. Wade could have implications for more than access t… https://t.co/wankiSJ97G",Pro-choice
52,@LilTeamkimlisa @GavinNewsom It isn't a law. Abortion is not a constitutional right,Pro-life
53,@SueZieCue So you should still be against Roe v. Wade because clearly there’s nothing in the constitution to suppor… https://t.co/eNIJPb30e6,Pro-choice
54,if people think that women are angry about roe v wade because they want to “kill babies”…. crack open a fucking book,Pro-choice
55,@POTUS A constitutional amendment to put roe vs Wade into the Constitution. All we need is 2/3 of the Senate and 2/… https://t.co/2HXdMqWve4,Pro-choice
56,Democrats have reneged on their longtime promise to codify Roe v. Wade every time they’ve held power. Party leaders… https://t.co/fNyO6X7rwt,Pro-choice
57,I had a miserable pregnancy and I would seriously rather risk death than ever be pregnant again. I love my child en… https://t.co/V3GZKr2mD9,Pro-choice
58,"@djrothkopf In addition to the overturning of #Roe v Wade, do you mean a President (#Trump) saying to his Departmen… https://t.co/oqmNhYhH7l",Pro-choice
59,@eire175 @idyllchatter @go_figureitout @kylegriffin1 Politicians on both sides don't work for the people..they work… https://t.co/bHCUOz6quI,Pro-life
60,@SpeakerPelosi taking advantage to ask for fundraising money + my vote to fix the Roe v Wade mess. I already voted… https://t.co/W3lXj5OaOn,Pro-choice
61,@Lindaloverlips @Strandjunker @TheJohnDiMaggio No one is “for abortion.” Those who support Roe v. Wade believe a wo… https://t.co/T6haPc0Juk,Pro-choice
62,@LiberalsTDS2020 @JoJoFromJerz You’re also a perfect example of why they should never have overturned Roe vs Wade.,Pro-choice
63,"@Christo36805226 @JillFilipovic Speaking of ignorance, did you even bother checking out the other state's rulings?… https://t.co/dDE6K62tFf",Pro-choice
64,"@amyklobuchar Wouldn't birth control be easier &amp; even cheaper? Oh yeah, you're complicit in using abortion as a for… https://t.co/QLNxFk1UMV",Pro-life
65,"Quick reminder... Obumer put Roe v Wade on the back burner in 2009, pretty much the way the Dems have done since 74.",Pro-choice
66,"Hey ladies in favor of roe v wade. I just want you to put into perspective, if you were raped by any man, and he ca… https://t.co/9w8Q7qSKQ3",Pro-choice
67,"Thank you ⁦@JayInslee⁩, ⁦@GavinNewsom⁩, ⁦@OregonGovBrown⁩

Next steps for Washington, Oregon, California after Roe… https://t.co/wDdzzKpOlp",Pro-choice
68,@OttawaCitizen @CBCOttawa @drakefenton @Marco_Vigliotti @_MarkSutcliffe @JimWatsonOttawa @JonathanWilling if u took… https://t.co/50YmlyzUwt,Pro-choice
69,@thatoneguy_jm It's like no one reads that 70% of people were in favor of Roe v Wade and wanted it codified. You're… https://t.co/G6dXyWpwwg,Pro-choice
70,I hope someday people will understand what roe v wade oveturned actually does. Strong support for the overturned ruling,Pro-life
71,"@____sassycassie @AdamRintala I feel your pain Cassie, having lived in the  pre Roe v. Wade era, it’s a major step… https://t.co/u1rELjQJvj",Pro-choice
72,"Vancouver Pro-Choice Rally Tomorrow
https://t.co/hwgNEvk1CR

Stand in rage &amp; solidarity with our siblings across th… https://t.co/K4LARZk59m",Pro-choice
73,"@charliekirk11 Your ""God"" has killed more babies than abortion has",Pro-choice
74,I’m not surprised at the old wrinkled saggy balls having a$$ men who voted to overturn Roe vs Wade but Justice Amy… https://t.co/9eGRfqcSLp,Pro-choice
75,him. You think this is something? You think this is bad? This? This chicanery? He's done worse. Roe v Wade! Are you… https://t.co/NhUpetB7DW,Pro-choice
76,"@DavidAFrench Yeaaaaah, didn’t they also say that Roe v Wade was settled law and precedent? So we should trust them… https://t.co/lPxyLMov0a",Pro-choice
77,OMG as if the LBGTQXyzabcdsd  can’t spew enough BS already there new mantra now since Roe V Wade was turned back ri… https://t.co/cbzJNOzesy,Pro-life
78,"I’ve been too shocked and too angry at the Roe Vs Wade ruling to even know where to start and what to say

This lad… https://t.co/J6poxhTF9l",Pro-choice
